DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,HIGH_CONSUMER,Total_Empl
Internal Auditor              ,12/10/2011,1,6
Internal Auditor              ,11/22/2014,0,7
Internal Auditor              ,3/11/2017,1,7
Internal Auditor              ,8/12/2017,0,7
Kentuckiana Works Foundation,11/9/2013,6,16
Library,5/12/2012,45,295
Library,2/1/2014,43,280
Library,1/3/2015,31,287
Library,8/1/2015,39,290
Library,2/13/2016,47,289
Louisville Metro Council      ,2/4/2012,9,90
Louisville Metro Council      ,5/11/2013,10,84
Louisville Metro Council      ,3/1/2014,15,83
Louisville Metro Council      ,6/6/2015,11,83
Louisville Metro Council      ,6/20/2015,9,81
Louisville Metro Council      ,9/12/2015,8,78
Louisville Metro Council      ,12/5/2015,9,77
Louisville Metro Council      ,8/12/2017,7,79
Louisville Metro EMS,8/4/2012,32,240
Louisville Metro EMS,11/23/2013,13,241
Louisville Metro EMS,12/21/2013,15,240
Louisville Metro EMS,1/18/2014,15,239
Louisville Metro EMS,2/1/2014,11,239
Louisville Metro EMS,12/20/2014,15,245
Louisville Metro EMS,11/21/2015,23,241
Louisville Metro EMS,11/5/2016,35,227
Louisville Metro EMS,5/6/2017,31,227
Mayor's Office                ,3/1/2014,1,21
Mayor's Office                ,4/26/2014,1,21
Mayor's Office                ,8/2/2014,1,21
Mayor's Office                ,12/6/2014,1,20
Mayor's Office                ,6/6/2015,1,19
Mayor's Office                ,12/5/2015,0,21
Mayor's Office                ,1/16/2016,0,21
Mayor's Office                ,5/7/2016,0,22
Mayor's Office                ,6/17/2017,2,19
Metro Animal Services         ,2/18/2012,17,46
Metro Animal Services         ,10/13/2012,16,48
Metro Animal Services         ,5/25/2013,15,50
Metro Animal Services         ,7/19/2014,18,53
Metro Animal Services         ,9/27/2014,18,59
Metro Animal Services         ,10/24/2015,21,57
Metro Animal Services         ,5/21/2016,23,54
Metro Animal Services         ,6/4/2016,21,54
Metro Animal Services         ,9/10/2016,17,57
Metro Criminal Justice Comm   ,10/13/2012,1,4
Metro Criminal Justice Comm   ,4/13/2013,0,4
Belle of Louisville           ,7/6/2013,4,65
Belle of Louisville           ,9/28/2013,4,65
Belle of Louisville           ,6/7/2014,3,72
Belle of Louisville           ,10/22/2016,1,59
Codes & Regulations,7/21/2012,41,128
Codes & Regulations,4/13/2013,19,126
Codes & Regulations,6/21/2014,24,122
Codes & Regulations,8/2/2014,23,122
Codes & Regulations,12/6/2014,24,124
Codes & Regulations,7/2/2016,27,133
Commonwealth Attorney         ,5/26/2012,0,20
Commonwealth Attorney         ,7/7/2012,0,20
Commonwealth Attorney         ,10/11/2014,0,20
Commonwealth Attorney         ,11/22/2014,0,23
Commonwealth Attorney         ,12/20/2014,0,23
Commonwealth Attorney         ,7/15/2017,0,20
Community Services,6/21/2014,49,140
Community Services,12/6/2014,50,152
Community Services,7/2/2016,41,126
Community Services,7/30/2016,40,126
Coroner                       ,5/26/2012,0,20
Coroner                       ,10/27/2012,0,19
Coroner                       ,2/2/2013,0,19
Coroner                       ,8/3/2013,0,19
Coroner                       ,2/28/2015,0,18
Coroner                       ,8/15/2015,0,16
Coroner                       ,10/8/2016,0,15
Corrections                   ,9/29/2012,148,520
Corrections                   ,5/24/2014,127,534
Corrections                   ,12/5/2015,95,534
Corrections                   ,3/12/2016,103,549
Corrections                   ,7/16/2016,128,525
Corrections                   ,7/30/2016,130,522
County Attorney               ,11/24/2012,0,91
County Attorney               ,6/8/2013,0,96
County Attorney               ,1/4/2014,0,94
County Attorney               ,10/25/2014,0,95
County Attorney               ,4/25/2015,0,95
County Attorney               ,7/4/2015,0,95
Dept of Information Technology,4/28/2012,11,57
Dept of Information Technology,7/7/2012,14,55
Dept of Information Technology,12/20/2014,18,51
Dept of Information Technology,11/5/2016,10,59
Develop Louisville,11/26/2011,32,89
Develop Louisville,12/24/2011,29,86
Develop Louisville,7/6/2013,22,96
Develop Louisville,2/13/2016,16,123
Develop Louisville,10/22/2016,16,118
Econ Growth & Innovation ,5/9/2015,0,28
Econ Growth & Innovation-APCD,2/15/2014,20,60
Econ Growth & Innovation-APCD,9/13/2014,16,54
Econ Growth & Innovation-APCD,1/16/2016,14,54
Emergency Mgt Agency/MetroSafe,3/2/2013,35,187
Emergency Mgt Agency/MetroSafe,3/30/2013,37,190
Emergency Mgt Agency/MetroSafe,12/6/2014,32,193
Emergency Mgt Agency/MetroSafe,7/2/2016,34,190
Emergency Mgt Agency/MetroSafe,8/13/2016,30,187
Emergency Mgt Agency/MetroSafe,7/1/2017,42,183
Fire & Rescue                 ,2/4/2012,50,487
Fire & Rescue                 ,9/29/2012,72,471
Fire & Rescue                 ,8/30/2014,69,481
Fire & Rescue                 ,6/6/2015,75,509
Fire & Rescue                 ,3/12/2016,75,484
Fire & Rescue                 ,7/16/2016,78,479
Fire & Rescue                 ,2/25/2017,70,502
Fleet & Facilities,10/12/2013,59,201
Fleet & Facilities,12/6/2014,51,200
Fleet & Facilities,11/7/2015,67,202
Fleet & Facilities,3/26/2016,68,196
Fleet & Facilities,12/3/2016,64,197
Fleet & Facilities,4/8/2017,64,191
Fleet & Facilities,8/26/2017,62,186
Human Relations Commission    ,7/19/2014,2,23
Human Relations Commission    ,9/10/2016,3,19
Human Relations Commission    ,4/22/2017,4,17
Human Relations Commission    ,5/20/2017,3,19
Human Resources,4/28/2012,6,32
Human Resources,12/22/2012,3,38
Human Resources,4/11/2015,1,35
Human Resources,1/2/2016,3,39
Human Resources,12/31/2016,5,39
Human Resources,5/20/2017,3,43
Internal Auditor              ,8/16/2014,0,7
Internal Auditor              ,11/8/2014,0,7
Internal Auditor              ,2/11/2017,1,7
Kentuckiana Works Foundation,8/4/2012,4,17
Kentuckiana Works Foundation,3/16/2013,7,16
Kentuckiana Works Foundation,6/8/2013,5,18
Kentuckiana Works Foundation,10/26/2013,6,17
Kentuckiana Works Foundation,2/1/2014,7,17
Kentuckiana Works Foundation,10/25/2014,5,19
Kentuckiana Works Foundation,5/23/2015,1,18
Kentuckiana Works Foundation,2/27/2016,1,24
Kentuckiana Works Foundation,7/29/2017,6,25
Library,10/12/2013,49,278
Library,4/12/2014,42,285
Library,4/11/2015,36,290
Library,1/2/2016,43,288
Library,3/26/2016,42,299
Library,4/8/2017,44,292
Louisville Metro Council      ,6/9/2012,12,88
Louisville Metro Council      ,10/27/2012,11,85
Louisville Metro Council      ,3/2/2013,10,87
Louisville Metro Council      ,3/29/2014,15,82
Louisville Metro Council      ,12/20/2014,15,82
Louisville Metro Council      ,9/10/2016,16,81
Louisville Metro Council      ,1/28/2017,10,78
Louisville Metro Council      ,5/6/2017,7,77
Louisville Metro Council      ,7/1/2017,8,79
Louisville Metro EMS,7/16/2016,36,240
Louisville Metro EMS,7/30/2016,31,237
Mayor's Office                ,3/31/2012,1,24
Mayor's Office                ,1/18/2014,2,21
Mayor's Office                ,3/11/2017,1,19
Metro Animal Services         ,1/7/2012,19,45
Metro Animal Services         ,10/12/2013,18,52
Metro Animal Services         ,3/28/2015,19,57
Metro Animal Services         ,11/7/2015,22,56
Metro Animal Services         ,12/3/2016,16,60
Metro Criminal Justice Comm   ,4/14/2012,2,5
Belle of Louisville           ,3/3/2012,4,27
Belle of Louisville           ,4/14/2012,4,45
Belle of Louisville           ,2/1/2014,3,24
Belle of Louisville           ,12/19/2015,2,26
Belle of Louisville           ,7/15/2017,4,65
Belle of Louisville           ,9/9/2017,4,62
Codes & Regulations,3/28/2015,24,123
Codes & Regulations,11/21/2015,24,134
Codes & Regulations,6/3/2017,40,151
Commonwealth Attorney         ,9/15/2012,0,20
Commonwealth Attorney         ,9/14/2013,0,17
Commonwealth Attorney         ,10/12/2013,0,17
Commonwealth Attorney         ,12/21/2013,0,18
Commonwealth Attorney         ,9/26/2015,0,23
Commonwealth Attorney         ,1/28/2017,0,20
Commonwealth Attorney         ,6/17/2017,0,20
Community Services,6/22/2013,84,222
Community Services,7/6/2013,83,214
Community Services,10/26/2013,83,230
Community Services,5/24/2014,46,136
Community Services,1/31/2015,53,150
Coroner                       ,8/31/2013,0,19
Coroner                       ,11/9/2013,0,19
Corrections                   ,12/10/2011,166,534
Corrections                   ,9/13/2014,133,513
Corrections                   ,11/22/2014,133,530
County Attorney               ,7/20/2013,0,94
County Attorney               ,7/16/2016,0,101
County Attorney               ,9/24/2016,0,101
County Attorney               ,1/14/2017,0,101
County Attorney               ,5/6/2017,0,103
Dept of Information Technology,10/29/2011,12,60
Dept of Information Technology,6/8/2013,15,58
Dept of Information Technology,5/24/2014,16,52
Dept of Information Technology,2/14/2015,14,51
Dept of Information Technology,4/22/2017,9,59
Develop Louisville,5/26/2012,26,87
Develop Louisville,3/30/2013,23,96
Develop Louisville,8/31/2013,21,99
Develop Louisville,1/4/2014,23,97
Develop Louisville,4/12/2014,25,108
Develop Louisville,8/16/2014,24,118
Develop Louisville,4/25/2015,23,119
Develop Louisville,4/8/2017,18,120
Econ Growth & Innovation ,5/12/2012,5,25
Econ Growth & Innovation ,1/19/2013,3,26
Econ Growth & Innovation ,4/27/2013,2,27
Econ Growth & Innovation ,9/14/2013,0,27
Econ Growth & Innovation ,12/21/2013,1,27
Econ Growth & Innovation-APCD,12/24/2011,21,66
Econ Growth & Innovation-APCD,12/8/2012,20,61
Econ Growth & Innovation-APCD,6/8/2013,17,64
Econ Growth & Innovation-APCD,5/24/2014,15,54
Econ Growth & Innovation-APCD,1/31/2015,11,56
Econ Growth & Innovation-APCD,10/24/2015,16,53
Econ Growth & Innovation-APCD,1/30/2016,14,53
Econ Growth & Innovation-APCD,5/21/2016,15,54
Emergency Mgt Agency/MetroSafe,5/25/2013,35,186
Emergency Mgt Agency/MetroSafe,12/7/2013,35,190
Emergency Mgt Agency/MetroSafe,5/9/2015,36,191
Emergency Mgt Agency/MetroSafe,2/27/2016,35,185
Fire & Rescue                 ,10/1/2011,50,457
Fire & Rescue                 ,3/16/2013,93,467
Fire & Rescue                 ,2/13/2016,81,485
Fire & Rescue                 ,7/2/2016,77,481
Fire & Rescue                 ,7/29/2017,59,496
Fleet & Facilities,7/4/2015,66,199
Fleet & Facilities,7/2/2016,61,200
Fleet & Facilities,7/30/2016,58,204
Human Relations Commission    ,7/20/2013,1,16
Human Relations Commission    ,4/9/2016,1,20
Human Relations Commission    ,5/7/2016,0,19
Human Relations Commission    ,1/14/2017,3,18
Human Relations Commission    ,7/15/2017,3,19
Human Resources,3/17/2012,5,37
Human Resources,7/5/2014,5,34
Human Resources,7/18/2015,1,40
Human Resources,11/7/2015,2,37
Internal Auditor              ,4/25/2015,0,7
Internal Auditor              ,6/3/2017,0,7
Kentuckiana Works Foundation,3/17/2012,4,17
Kentuckiana Works Foundation,4/26/2014,5,17
Kentuckiana Works Foundation,8/2/2014,4,18
Kentuckiana Works Foundation,7/18/2015,1,17
Kentuckiana Works Foundation,8/1/2015,1,18
Kentuckiana Works Foundation,2/25/2017,4,25
Library,3/31/2012,45,295
Library,3/15/2014,38,285
Louisville Metro Council      ,1/5/2013,14,86
Louisville Metro Council      ,3/14/2015,11,80
Louisville Metro EMS,10/15/2011,32,227
Louisville Metro EMS,10/29/2011,24,230
Louisville Metro EMS,6/22/2013,30,238
Louisville Metro EMS,7/6/2013,31,240
Mayor's Office                ,11/12/2011,1,24
Mayor's Office                ,1/7/2012,1,25
Mayor's Office                ,1/21/2012,1,25
Mayor's Office                ,10/13/2012,1,22
Mayor's Office                ,8/15/2015,0,20
Mayor's Office                ,1/2/2016,0,21
Mayor's Office                ,10/8/2016,1,19
Mayor's Office                ,10/22/2016,1,19
Metro Animal Services         ,2/2/2013,17,48
Metro Animal Services         ,4/27/2013,14,50
Metro Animal Services         ,8/3/2013,16,48
Metro Animal Services         ,6/7/2014,17,50
Metro Animal Services         ,1/14/2017,15,60
Metro Criminal Justice Comm   ,5/12/2012,3,4
Metro Criminal Justice Comm   ,1/19/2013,1,4
Metro Criminal Justice Comm   ,4/27/2013,1,4
Metro Criminal Justice Comm   ,6/7/2014,0,4
Metro Criminal Justice Comm   ,7/16/2016,0,4
Metro Criminal Justice Comm   ,5/6/2017,1,4
Metro Parks & Recreation,2/18/2012,79,345
Metro Parks & Recreation,10/27/2012,78,380
Metro Parks & Recreation,11/10/2012,78,374
Metro Parks & Recreation,2/16/2013,84,339
Metro Parks & Recreation,11/8/2014,77,356
Metro Parks & Recreation,2/11/2017,69,353
Belle of Louisville           ,3/31/2012,4,29
Belle of Louisville           ,4/28/2012,4,46
Belle of Louisville           ,6/23/2012,4,68
Belle of Louisville           ,11/5/2016,1,55
Codes & Regulations,9/14/2013,14,121
Codes & Regulations,1/18/2014,14,124
Codes & Regulations,2/15/2014,16,122
Codes & Regulations,7/4/2015,23,125
Codes & Regulations,12/5/2015,25,132
Codes & Regulations,10/22/2016,34,143
Commonwealth Attorney         ,6/22/2013,0,18
Commonwealth Attorney         ,7/6/2013,0,18
Commonwealth Attorney         ,10/26/2013,0,17
Commonwealth Attorney         ,9/27/2014,0,19
Commonwealth Attorney         ,3/14/2015,0,23
Commonwealth Attorney         ,7/4/2015,0,23
Commonwealth Attorney         ,7/18/2015,0,22
Community Services,9/14/2013,81,213
Community Services,12/21/2013,91,239
Community Services,2/15/2014,47,156
Community Services,9/27/2014,49,136
Community Services,12/5/2015,46,138
Coroner                       ,1/19/2013,0,19
Coroner                       ,2/16/2013,0,19
Coroner                       ,4/27/2013,0,19
Coroner                       ,5/23/2015,0,17
Coroner                       ,6/4/2016,0,14
Coroner                       ,9/24/2016,0,15
Coroner                       ,1/14/2017,0,15
Corrections                   ,4/13/2013,129,528
Corrections                   ,6/7/2014,130,532
Corrections                   ,7/5/2014,129,530
Corrections                   ,8/2/2014,127,524
Corrections                   ,12/17/2016,151,539
County Attorney               ,4/9/2016,0,98
County Attorney               ,5/7/2016,0,100
Dept of Information Technology,6/22/2013,13,57
Dept of Information Technology,1/31/2015,16,52
Dept of Information Technology,12/5/2015,9,56
Develop Louisville,2/2/2013,23,91
Develop Louisville,6/7/2014,27,115
Develop Louisville,12/3/2016,21,121
Econ Growth & Innovation ,5/26/2012,5,26
Econ Growth & Innovation ,8/31/2013,0,27
Econ Growth & Innovation ,6/21/2014,1,26
Econ Growth & Innovation ,4/25/2015,0,27
Econ Growth & Innovation ,12/31/2016,0,22
Econ Growth & Innovation-APCD,10/12/2013,18,63
Econ Growth & Innovation-APCD,1/18/2014,20,60
Econ Growth & Innovation-APCD,8/2/2014,15,53
Econ Growth & Innovation-APCD,8/30/2014,16,54
Econ Growth & Innovation-APCD,12/6/2014,15,56
Econ Growth & Innovation-APCD,6/6/2015,13,55
Econ Growth & Innovation-APCD,12/5/2015,16,53
Econ Growth & Innovation-APCD,12/3/2016,12,51
Econ Growth & Innovation-APCD,3/11/2017,11,50
Emergency Mgt Agency/MetroSafe,3/31/2012,36,186
Emergency Mgt Agency/MetroSafe,1/19/2013,38,188
Emergency Mgt Agency/MetroSafe,3/16/2013,33,190
Emergency Mgt Agency/MetroSafe,11/21/2015,39,184
Emergency Mgt Agency/MetroSafe,1/16/2016,35,182
Fire & Rescue                 ,8/17/2013,86,457
Fire & Rescue                 ,11/8/2014,65,481
Fire & Rescue                 ,5/23/2015,77,509
Fleet & Facilities,11/12/2011,72,198
Fleet & Facilities,3/16/2013,69,202
Fleet & Facilities,11/9/2013,57,200
Fleet & Facilities,11/21/2015,66,203
Fleet & Facilities,1/16/2016,54,199
Fleet & Facilities,2/13/2016,60,197
Human Relations Commission    ,9/28/2013,1,16
Human Relations Commission    ,2/27/2016,1,20
Human Resources,5/10/2014,2,33
Human Resources,6/20/2015,1,40
Human Resources,9/12/2015,2,36
Human Resources,6/17/2017,3,39
Internal Auditor              ,1/7/2012,1,6
Internal Auditor              ,1/5/2013,1,7
Internal Auditor              ,10/12/2013,1,6
Internal Auditor              ,1/18/2014,0,5
Internal Auditor              ,12/5/2015,0,6
Internal Auditor              ,1/2/2016,0,6
Internal Auditor              ,1/28/2017,1,7
Kentuckiana Works Foundation,8/18/2012,4,16
Kentuckiana Works Foundation,3/29/2014,5,17
Kentuckiana Works Foundation,11/7/2015,1,20
Kentuckiana Works Foundation,8/13/2016,1,24
Kentuckiana Works Foundation,9/10/2016,1,24
Kentuckiana Works Foundation,8/12/2017,6,25
Library,3/3/2012,48,299
Library,4/14/2012,45,295
Library,9/28/2013,50,280
Library,12/7/2013,47,275
Library,2/27/2016,43,290
Library,6/18/2016,52,296
Library,9/9/2017,43,295
Louisville Metro Council      ,8/27/2016,15,84
Louisville Metro Council      ,6/17/2017,6,80
Louisville Metro EMS,7/20/2013,30,236
Louisville Metro EMS,8/17/2013,19,224
Louisville Metro EMS,2/15/2014,11,239
Louisville Metro EMS,9/27/2014,12,246
Mayor's Office                ,2/28/2015,2,20
Mayor's Office                ,7/4/2015,1,19
Mayor's Office                ,8/29/2015,0,20
Mayor's Office                ,4/23/2016,0,22
Mayor's Office                ,7/2/2016,1,20
Mayor's Office                ,8/13/2016,1,19
Mayor's Office                ,8/12/2017,1,19
Metro Animal Services         ,9/13/2014,18,59
Metro Animal Services         ,1/3/2015,18,55
Metro Animal Services         ,3/12/2016,22,57
Metro Animal Services         ,3/26/2016,24,57
Metro Criminal Justice Comm   ,2/4/2012,1,5
Metro Criminal Justice Comm   ,9/29/2012,1,4
Metro Criminal Justice Comm   ,4/12/2014,0,4
Metro Criminal Justice Comm   ,1/17/2015,0,4
Metro Criminal Justice Comm   ,8/27/2016,0,4
Metro Criminal Justice Comm   ,4/8/2017,1,4
Metro Criminal Justice Comm   ,5/20/2017,1,4
Metro Parks & Recreation,5/11/2013,84,360
Belle of Louisville           ,5/26/2012,4,64
Belle of Louisville           ,9/29/2012,2,66
Belle of Louisville           ,7/20/2013,4,65
Belle of Louisville           ,8/31/2013,3,61
Belle of Louisville           ,4/25/2015,4,40
Belle of Louisville           ,8/27/2016,1,62
Codes & Regulations,5/26/2012,46,129
Codes & Regulations,7/20/2013,17,123
Codes & Regulations,10/25/2014,26,124
Codes & Regulations,12/20/2014,25,124
Codes & Regulations,8/27/2016,30,145
Codes & Regulations,11/19/2016,33,144
Codes & Regulations,1/14/2017,34,140
Commonwealth Attorney         ,11/23/2013,0,19
Commonwealth Attorney         ,1/18/2014,0,20
Commonwealth Attorney         ,2/15/2014,0,20
Commonwealth Attorney         ,9/13/2014,0,19
Commonwealth Attorney         ,12/6/2014,0,23
Commonwealth Attorney         ,4/11/2015,0,23
Commonwealth Attorney         ,6/20/2015,0,23
Commonwealth Attorney         ,9/12/2015,0,23
Commonwealth Attorney         ,1/16/2016,0,26
Commonwealth Attorney         ,3/26/2016,0,25
Commonwealth Attorney         ,3/25/2017,0,20
Community Services,2/16/2013,100,233
Community Services,6/8/2013,91,225
Community Services,2/28/2015,50,145
Community Services,8/29/2015,48,135
Coroner                       ,3/2/2013,0,19
Coroner                       ,3/30/2013,0,19
Coroner                       ,1/2/2016,0,15
Coroner                       ,7/1/2017,0,14
Corrections                   ,9/15/2012,148,519
Corrections                   ,3/29/2014,124,538
Corrections                   ,5/9/2015,109,531
Corrections                   ,9/26/2015,99,539
Corrections                   ,2/27/2016,103,530
Corrections                   ,4/23/2016,110,544
Corrections                   ,2/11/2017,159,532
Corrections                   ,5/20/2017,192,548
County Attorney               ,3/17/2012,1,92
County Attorney               ,7/5/2014,0,92
County Attorney               ,7/2/2016,0,101
County Attorney               ,7/30/2016,0,101
Dept of Information Technology,3/15/2014,14,56
Develop Louisville,9/29/2012,28,90
Develop Louisville,8/27/2016,17,114
Econ Growth & Innovation ,4/26/2014,1,26
Econ Growth & Innovation ,8/2/2014,0,26
Econ Growth & Innovation ,6/6/2015,0,31
Econ Growth & Innovation ,12/5/2015,1,24
Econ Growth & Innovation-APCD,2/4/2012,20,61
Econ Growth & Innovation-APCD,10/27/2012,16,63
Econ Growth & Innovation-APCD,10/26/2013,18,63
Econ Growth & Innovation-APCD,1/17/2015,12,55
Econ Growth & Innovation-APCD,2/28/2015,14,56
Econ Growth & Innovation-APCD,8/29/2015,14,54
Econ Growth & Innovation-APCD,8/12/2017,15,53
Emergency Mgt Agency/MetroSafe,12/10/2011,36,188
Emergency Mgt Agency/MetroSafe,11/22/2014,29,191
Fire & Rescue                 ,7/21/2012,61,481
Fire & Rescue                 ,1/19/2013,84,468
Fire & Rescue                 ,4/27/2013,89,464
Fire & Rescue                 ,6/7/2014,64,489
Fire & Rescue                 ,5/6/2017,63,497
Fleet & Facilities,1/5/2013,74,197
Fleet & Facilities,3/14/2015,57,199
Fleet & Facilities,7/18/2015,64,200
Fleet & Facilities,7/16/2016,58,203
Fleet & Facilities,9/24/2016,58,202
Fleet & Facilities,2/25/2017,70,191
Human Relations Commission    ,2/1/2014,3,16
Human Relations Commission    ,10/25/2014,3,21
Human Relations Commission    ,12/20/2014,3,21
Human Relations Commission    ,3/28/2015,1,22
Human Relations Commission    ,11/21/2015,2,18
Human Relations Commission    ,11/19/2016,2,19
Human Resources,1/5/2013,4,33
Human Resources,2/2/2013,3,34
Human Resources,8/3/2013,3,33
Human Resources,3/14/2015,1,35
Human Resources,7/4/2015,1,36
Human Resources,2/25/2017,5,42
Internal Auditor              ,5/26/2012,1,8
Internal Auditor              ,7/20/2013,0,7
Internal Auditor              ,2/1/2014,1,5
Internal Auditor              ,10/25/2014,0,7
Internal Auditor              ,3/28/2015,0,7
Internal Auditor              ,8/27/2016,2,7
Internal Auditor              ,11/19/2016,2,7
Kentuckiana Works Foundation,7/21/2012,5,17
Kentuckiana Works Foundation,6/7/2014,5,17
Kentuckiana Works Foundation,7/2/2016,1,23
Library,10/29/2011,47,298
Library,11/24/2012,55,293
Library,2/16/2013,61,298
Library,6/8/2013,47,292
Library,5/24/2014,38,283
Library,2/14/2015,34,287
Library,6/4/2016,51,301
Library,12/17/2016,54,299
Louisville Metro Council      ,6/23/2012,12,89
Louisville Metro Council      ,7/4/2015,9,82
Louisville Metro EMS,1/7/2012,27,240
Louisville Metro EMS,2/14/2015,15,247
Mayor's Office                ,4/13/2013,2,20
Mayor's Office                ,11/9/2013,2,21
Mayor's Office                ,5/10/2014,0,21
Metro Animal Services         ,3/17/2012,17,45
Metro Animal Services         ,7/5/2014,16,53
Metro Animal Services         ,3/14/2015,21,57
Metro Animal Services         ,7/18/2015,21,57
Metro Animal Services         ,7/16/2016,19,61
Metro Animal Services         ,7/30/2016,17,60
Metro Animal Services         ,9/24/2016,17,57
Metro Animal Services         ,2/25/2017,19,58
Metro Criminal Justice Comm   ,3/17/2012,2,5
Metro Criminal Justice Comm   ,4/26/2014,0,4
Metro Criminal Justice Comm   ,8/2/2014,0,4
Metro Criminal Justice Comm   ,6/6/2015,0,4
Metro Criminal Justice Comm   ,7/2/2016,0,4
Belle of Louisville           ,7/21/2012,3,70
Belle of Louisville           ,1/19/2013,4,26
Belle of Louisville           ,8/17/2013,4,66
Belle of Louisville           ,9/13/2014,5,61
Belle of Louisville           ,10/10/2015,4,57
Belle of Louisville           ,6/18/2016,1,61
Belle of Louisville           ,8/13/2016,1,62
Codes & Regulations,2/18/2012,49,135
Codes & Regulations,12/22/2012,29,127
Codes & Regulations,9/28/2013,15,123
Codes & Regulations,7/19/2014,21,123
Codes & Regulations,9/27/2014,29,125
Codes & Regulations,10/24/2015,25,133
Codes & Regulations,5/21/2016,27,136
Commonwealth Attorney         ,10/15/2011,0,18
Commonwealth Attorney         ,1/21/2012,0,20
Commonwealth Attorney         ,2/16/2013,0,19
Commonwealth Attorney         ,4/25/2015,0,23
Commonwealth Attorney         ,3/12/2016,0,25
Commonwealth Attorney         ,9/9/2017,0,20
Community Services,7/21/2012,82,211
Community Services,1/18/2014,43,155
Community Services,7/5/2014,49,139
Community Services,6/17/2017,61,131
Coroner                       ,10/1/2011,1,20
Coroner                       ,2/4/2012,0,20
Coroner                       ,10/26/2013,0,19
Coroner                       ,11/19/2016,0,15
Corrections                   ,2/1/2014,122,543
Corrections                   ,7/4/2015,108,525
Corrections                   ,6/3/2017,186,547
County Attorney               ,11/22/2014,0,93
County Attorney               ,1/17/2015,0,94
County Attorney               ,2/28/2015,0,95
County Attorney               ,5/9/2015,0,95
County Attorney               ,8/15/2015,0,93
County Attorney               ,10/8/2016,0,102
Dept of Information Technology,9/15/2012,14,59
Dept of Information Technology,12/8/2012,15,60
Dept of Information Technology,2/2/2013,10,59
Dept of Information Technology,8/3/2013,15,57
Dept of Information Technology,9/14/2013,16,60
Develop Louisville,3/31/2012,26,90
Develop Louisville,10/26/2013,16,101
Develop Louisville,11/23/2013,19,102
Develop Louisville,10/10/2015,18,119
Econ Growth & Innovation ,1/7/2012,3,24
Econ Growth & Innovation ,3/3/2012,4,27
Econ Growth & Innovation ,5/23/2015,0,30
Econ Growth & Innovation ,3/11/2017,0,22
Econ Growth & Innovation-APCD,3/17/2012,21,61
Emergency Mgt Agency/MetroSafe,4/27/2013,38,187
Emergency Mgt Agency/MetroSafe,6/7/2014,27,196
Emergency Mgt Agency/MetroSafe,1/2/2016,37,183
Emergency Mgt Agency/MetroSafe,4/9/2016,33,191
Emergency Mgt Agency/MetroSafe,10/22/2016,34,182
Fire & Rescue                 ,11/12/2011,50,458
Fire & Rescue                 ,5/26/2012,52,481
Fire & Rescue                 ,11/22/2014,66,480
Fire & Rescue                 ,8/15/2015,72,490
Fire & Rescue                 ,10/8/2016,73,463
Fire & Rescue                 ,12/17/2016,83,506
Fleet & Facilities,12/24/2011,76,198
Fleet & Facilities,3/31/2012,83,198
Fleet & Facilities,3/2/2013,67,202
Fleet & Facilities,7/6/2013,64,204
Fleet & Facilities,1/30/2016,58,199
Fleet & Facilities,3/11/2017,70,191
Human Relations Commission    ,11/8/2014,3,21
Human Relations Commission    ,9/26/2015,3,19
Human Relations Commission    ,12/31/2016,2,19
Human Relations Commission    ,2/11/2017,3,18
Human Resources,6/22/2013,2,37
Internal Auditor              ,11/9/2013,1,6
Kentuckiana Works Foundation,4/14/2012,4,17
Library,7/21/2012,53,288
Library,4/27/2013,59,295
Library,1/18/2014,45,280
Library,6/7/2014,39,282
Library,9/12/2015,40,282
Library,7/2/2016,53,296
Library,6/3/2017,45,297
Louisville Metro Council      ,9/26/2015,9,76
Louisville Metro Council      ,10/10/2015,10,77
Louisville Metro Council      ,2/27/2016,13,79
Louisville Metro Council      ,3/26/2016,16,80
Louisville Metro Council      ,7/29/2017,8,78
Louisville Metro EMS,7/21/2012,30,237
Louisville Metro EMS,7/5/2014,11,241
Louisville Metro EMS,7/18/2015,24,243
Louisville Metro EMS,3/25/2017,32,234
Louisville Metro EMS,6/17/2017,39,223
Mayor's Office                ,9/14/2013,2,20
Mayor's Office                ,11/23/2013,2,21
Mayor's Office                ,8/30/2014,1,21
Mayor's Office                ,11/19/2016,1,19
Mayor's Office                ,12/3/2016,2,19
Metro Animal Services         ,12/24/2011,17,43
Metro Animal Services         ,10/11/2014,18,59
Metro Animal Services         ,1/30/2016,22,58
Metro Animal Services         ,3/11/2017,19,58
Metro Criminal Justice Comm   ,6/9/2012,3,4
Metro Criminal Justice Comm   ,9/1/2012,1,4
Metro Criminal Justice Comm   ,10/27/2012,1,4
Metro Criminal Justice Comm   ,3/29/2014,0,4
Metro Criminal Justice Comm   ,2/28/2015,0,4
Metro Criminal Justice Comm   ,5/9/2015,0,4
Metro Criminal Justice Comm   ,5/23/2015,0,4
Metro Criminal Justice Comm   ,8/26/2017,1,4
Metro Parks & Recreation,11/26/2011,92,362
Metro Parks & Recreation,3/2/2013,82,337
Metro Parks & Recreation,12/6/2014,75,342
Metro Parks & Recreation,7/2/2016,78,498
Metro Parks & Recreation,7/1/2017,74,512
Metro Police,12/8/2012,122,1539
Metro Police,10/26/2013,118,1495
Metro Police,1/4/2014,107,1501
Metro Police,2/14/2015,118,1564
