SFY,All Funding Sources,AGE,Test Type,# of Tests
2009-2010,All,5,Ova/ Parasites,40
2009-2010,All,5,Total Cholesterol,367
2009-2010,All,6,Sickle Cell,32
2009-2010,All,6,Blood Lead,1143
2009-2010,All,6,Lead Test,2869
2009-2010,All,6,Lead Referral,327
2009-2010,All,6,""VDRL, RPR, ART"",
2009-2010,All,6,Gonorrhea,
2009-2010,All,6,Pap Smear,
2009-2010,All,6,Chlamydia,
2009-2010,All,6,Pelvic Exam,
2009-2010,All,6,Ova/ Parasites,15
2009-2010,All,6,Total Cholesterol,401
2009-2010,All,7,Sickle Cell,25
2009-2010,All,7,Blood Lead,422
2009-2010,All,7,Lead Test,1165
2009-2010,All,7,Lead Referral,195
2009-2010,All,7,""VDRL, RPR, ART"",
2009-2010,All,7,Gonorrhea,0
2009-2010,All,7,Pap Smear,
2009-2010,All,7,Chlamydia,
2009-2010,All,7,Pelvic Exam,
2009-2010,All,7,Ova/ Parasites,15
2009-2010,All,7,Total Cholesterol,410
2009-2010,All,8,Sickle Cell,31
2009-2010,All,8,Blood Lead,320
2009-2010,All,8,Lead Test,864
2009-2010,All,8,Lead Referral,109
2009-2010,All,8,""VDRL, RPR, ART"",
2009-2010,All,8,Gonorrhea,
2009-2010,All,8,Pap Smear,
2009-2010,All,8,Chlamydia,14
2009-2010,All,8,Pelvic Exam,
2009-2010,All,8,Ova/ Parasites,
2009-2010,All,8,Total Cholesterol,474
2009-2010,All,9,Sickle Cell,27
2009-2010,All,9,Blood Lead,266
2009-2010,All,9,Lead Test,734
2009-2010,All,9,Lead Referral,85
2009-2010,All,9,""VDRL, RPR, ART"",14
2009-2010,All,9,Gonorrhea,
2009-2010,All,9,Pap Smear,
2009-2010,All,9,Chlamydia,43
2009-2010,All,9,Pelvic Exam,
2009-2010,All,9,Ova/ Parasites,15
2009-2010,All,9,Total Cholesterol,584
2009-2010,All,10,Sickle Cell,18
2009-2010,All,10,Blood Lead,227
2009-2010,All,10,Lead Test,674
2009-2010,All,10,Lead Referral,89
2009-2010,All,10,""VDRL, RPR, ART"",28
2009-2010,All,10,Gonorrhea,
2009-2010,All,10,Pap Smear,
2009-2010,All,10,Chlamydia,69
2009-2010,All,10,Pelvic Exam,
2009-2010,All,10,Ova/ Parasites,17
2009-2010,All,10,Total Cholesterol,562
2009-2010,All,11,Sickle Cell,34
2009-2010,All,11,Blood Lead,223
2009-2010,All,11,Lead Test,725
2009-2010,All,11,Lead Referral,104
2009-2010,All,11,""VDRL, RPR, ART"",44
2009-2010,All,11,Gonorrhea,18
2009-2010,All,11,Pap Smear,38
2009-2010,All,11,Chlamydia,184
2009-2010,All,11,Pelvic Exam,40
2009-2010,All,11,Ova/ Parasites,11
2009-2010,All,11,Total Cholesterol,662
2009-2010,All,12,Sickle Cell,20
2009-2010,All,12,Blood Lead,198
2009-2010,All,12,Lead Test,642
2009-2010,All,12,Lead Referral,61
2009-2010,All,12,""VDRL, RPR, ART"",44
2009-2010,All,12,Gonorrhea,90
2009-2010,All,12,Pap Smear,28
2009-2010,All,12,Chlamydia,290
2009-2010,All,12,Pelvic Exam,27
2009-2010,All,12,Ova/ Parasites,16
2009-2010,All,12,Total Cholesterol,630
2009-2010,All,13,Sickle Cell,27
2009-2010,All,13,Blood Lead,163
2009-2010,All,13,Lead Test,612
2009-2010,All,13,Lead Referral,59
2009-2010,All,13,""VDRL, RPR, ART"",80
2009-2010,All,13,Gonorrhea,243
2009-2010,All,13,Pap Smear,42
2009-2010,All,13,Chlamydia,451
2009-2010,All,13,Pelvic Exam,45
2009-2010,All,13,Ova/ Parasites,18
2009-2010,All,13,Total Cholesterol,641
2009-2010,All,14,Sickle Cell,31
2009-2010,All,14,Blood Lead,163
2009-2010,All,14,Lead Test,672
2009-2010,All,14,Lead Referral,81
2009-2010,All,14,""VDRL, RPR, ART"",195
2009-2010,All,14,Gonorrhea,1158
2009-2010,All,14,Pap Smear,59
2009-2010,All,14,Chlamydia,1420
2009-2010,All,14,Pelvic Exam,58
2009-2010,All,14,Ova/ Parasites,
2009-2010,All,14,Total Cholesterol,706
2009-2010,All,15,Sickle Cell,41
2009-2010,All,15,Blood Lead,174
2009-2010,All,15,Lead Test,713
2009-2010,All,15,Lead Referral,49
2009-2010,All,15,""VDRL, RPR, ART"",308
2009-2010,All,15,Gonorrhea,1390
2009-2010,All,15,Pap Smear,68
2009-2010,All,15,Chlamydia,1857
2009-2010,All,15,Pelvic Exam,64
2009-2010,All,15,Ova/ Parasites,
2009-2010,All,15,Total Cholesterol,690
2009-2010,All,16,Sickle Cell,33
2009-2010,All,16,Blood Lead,155
2009-2010,All,16,Lead Test,651
2009-2010,All,16,Lead Referral,51
2009-2010,All,16,""VDRL, RPR, ART"",525
2009-2010,All,16,Gonorrhea,1851
2009-2010,All,16,Pap Smear,100
2009-2010,All,16,Chlamydia,2335
2009-2010,All,16,Pelvic Exam,91
2009-2010,All,16,Ova/ Parasites,11
2009-2010,All,16,Total Cholesterol,706
2009-2010,All,17,Sickle Cell,37
2009-2010,All,17,Blood Lead,144
2009-2010,All,17,Lead Test,589
2009-2010,All,17,Lead Referral,60
2009-2010,All,17,""VDRL, RPR, ART"",1025
2009-2010,All,17,Gonorrhea,1908
2009-2010,All,17,Pap Smear,133
2009-2010,All,17,Chlamydia,2303
2009-2010,All,17,Pelvic Exam,120
2009-2010,All,17,Ova/ Parasites,
2009-2010,All,17,Total Cholesterol,589
2009-2010,All,18,Sickle Cell,61
2009-2010,All,18,Blood Lead,88
2009-2010,All,18,Lead Test,358
2009-2010,All,18,Lead Referral,32
2009-2010,All,18,""VDRL, RPR, ART"",1563
2009-2010,All,18,Gonorrhea,1883
2009-2010,All,18,Pap Smear,128
2009-2010,All,18,Chlamydia,2134
2009-2010,All,18,Pelvic Exam,128
2009-2010,All,18,Ova/ Parasites,
2009-2010,All,18,Total Cholesterol,411
2009-2010,All,19,Sickle Cell,
2009-2010,All,19,Blood Lead,
2009-2010,All,19,Lead Test,77
2009-2010,All,19,Lead Referral,
2009-2010,All,19,""VDRL, RPR, ART"",82
2009-2010,All,19,Gonorrhea,200
2009-2010,All,19,Pap Smear,98
2009-2010,All,19,Chlamydia,335
2009-2010,All,19,Pelvic Exam,61
2009-2010,All,19,Ova/ Parasites,
2009-2010,All,19,Total Cholesterol,
2009-2010,All,20,Sickle Cell,0
2009-2010,All,20,Blood Lead,30
2009-2010,All,20,Lead Test,231
2009-2010,All,20,Lead Referral,17
2009-2010,All,20,""VDRL, RPR, ART"",39
2009-2010,All,20,Gonorrhea,133
2009-2010,All,20,Pap Smear,71
2009-2010,All,20,Chlamydia,200
2009-2010,All,20,Pelvic Exam,41
2009-2010,All,20,Ova/ Parasites,0
2009-2010,All,20,Total Cholesterol,
2009-2010,All,UNKNOWN,Sickle Cell,0
2009-2010,All,UNKNOWN,Blood Lead,
2009-2010,All,UNKNOWN,Lead Test,38
2009-2010,All,UNKNOWN,Lead Referral,
2009-2010,All,UNKNOWN,""VDRL, RPR, ART"",
2009-2010,All,UNKNOWN,Gonorrhea,
2009-2010,All,UNKNOWN,Pap Smear,0
2009-2010,All,UNKNOWN,Chlamydia,
2009-2010,All,UNKNOWN,Pelvic Exam,0
2009-2010,All,UNKNOWN,Ova/ Parasites,0
2009-2010,All,UNKNOWN,Total Cholesterol,
2009-2010,FFS,0,Sickle Cell,
2009-2010,FFS,0,Blood Lead,697
2009-2010,FFS,0,Lead Test,681
2009-2010,FFS,0,Lead Referral,134
2009-2010,FFS,0,""VDRL, RPR, ART"",0
2009-2010,FFS,0,Gonorrhea,
2009-2010,FFS,0,Pap Smear,0
2009-2010,FFS,0,Chlamydia,
2009-2010,FFS,0,Pelvic Exam,0
2009-2010,FFS,0,Ova/ Parasites,
2009-2010,FFS,0,Total Cholesterol,0
2009-2010,FFS,1,Sickle Cell,25
2009-2010,FFS,1,Blood Lead,8821
2009-2010,FFS,1,Lead Test,10603
2009-2010,FFS,1,Lead Referral,1656
2009-2010,FFS,1,""VDRL, RPR, ART"",
2009-2010,FFS,1,Gonorrhea,0
2009-2010,FFS,1,Pap Smear,
2009-2010,FFS,1,Chlamydia,
2009-2010,FFS,1,Pelvic Exam,
2009-2010,FFS,1,Ova/ Parasites,
2009-2010,FFS,1,Total Cholesterol,
2009-2010,FFS,2,Sickle Cell,
2009-2010,FFS,2,Blood Lead,6193
2009-2010,FFS,2,Lead Test,7540
2009-2010,FFS,2,Lead Referral,1215
2009-2010,FFS,2,""VDRL, RPR, ART"",
2009-2010,FFS,2,Gonorrhea,0
2009-2010,FFS,2,Pap Smear,
2009-2010,FFS,2,Chlamydia,0
2009-2010,FFS,2,Pelvic Exam,
2009-2010,FFS,2,Ova/ Parasites,
2009-2010,FFS,2,Total Cholesterol,16
2009-2010,FFS,3,Sickle Cell,
2009-2010,FFS,3,Blood Lead,2215
2009-2010,FFS,3,Lead Test,2813
2009-2010,FFS,3,Lead Referral,356
2009-2010,FFS,3,""VDRL, RPR, ART"",0
2009-2010,FFS,3,Gonorrhea,0
2009-2010,FFS,3,Pap Smear,0
2009-2010,FFS,3,Chlamydia,0
2009-2010,FFS,3,Pelvic Exam,0
2009-2010,FFS,3,Ova/ Parasites,
2009-2010,FFS,3,Total Cholesterol,14
2009-2010,FFS,4,Sickle Cell,
2009-2010,FFS,4,Blood Lead,2146
2009-2010,FFS,4,Lead Test,2514
2009-2010,FFS,4,Lead Referral,356
2009-2010,FFS,4,""VDRL, RPR, ART"",
2009-2010,FFS,4,Gonorrhea,
2009-2010,FFS,4,Pap Smear,0
2009-2010,FFS,4,Chlamydia,
2009-2010,FFS,4,Pelvic Exam,0
2009-2010,FFS,4,Ova/ Parasites,
2009-2010,FFS,4,Total Cholesterol,
2009-2010,FFS,5,Sickle Cell,
2009-2010,FFS,5,Blood Lead,757
2009-2010,FFS,5,Lead Test,1066
2009-2010,FFS,5,Lead Referral,
2009-2010,FFS,5,""VDRL, RPR, ART"",0
2009-2010,FFS,5,Gonorrhea,0
2009-2010,FFS,5,Pap Smear,0
2009-2010,FFS,5,Chlamydia,0
2009-2010,FFS,5,Pelvic Exam,0
2009-2010,FFS,5,Ova/ Parasites,
2009-2010,FFS,5,Total Cholesterol,
2009-2010,FFS,6,Sickle Cell,
2009-2010,FFS,6,Blood Lead,228
2009-2010,FFS,6,Lead Test,336
2009-2010,FFS,6,Lead Referral,
2009-2010,FFS,6,""VDRL, RPR, ART"",
2009-2010,FFS,6,Gonorrhea,0
2009-2010,FFS,6,Pap Smear,0
2009-2010,FFS,6,Chlamydia,
2009-2010,FFS,6,Pelvic Exam,0
2009-2010,FFS,6,Ova/ Parasites,
2009-2010,FFS,6,Total Cholesterol,
2009-2010,FFS,7,Sickle Cell,
2009-2010,FFS,7,Blood Lead,64
2009-2010,FFS,7,Lead Test,113
2009-2010,FFS,7,Lead Referral,34
2009-2010,FFS,7,""VDRL, RPR, ART"",0
2009-2010,FFS,7,Gonorrhea,0
2009-2010,FFS,7,Pap Smear,0
2009-2010,FFS,7,Chlamydia,0
2009-2010,FFS,7,Pelvic Exam,0
2009-2010,FFS,7,Ova/ Parasites,
2009-2010,FFS,7,Total Cholesterol,30
2009-2010,FFS,8,Sickle Cell,
2009-2010,FFS,8,Blood Lead,53
2009-2010,FFS,8,Lead Test,94
2009-2010,FFS,8,Lead Referral,
2009-2010,FFS,8,""VDRL, RPR, ART"",0
2009-2010,FFS,8,Gonorrhea,0
2009-2010,FFS,8,Pap Smear,0
2009-2010,FFS,8,Chlamydia,
2009-2010,FFS,8,Pelvic Exam,0
2009-2010,FFS,8,Ova/ Parasites,
2009-2010,FFS,8,Total Cholesterol,36
2009-2010,FFS,9,Sickle Cell,
2009-2010,FFS,9,Blood Lead,
2009-2010,FFS,9,Lead Test,73
2009-2010,FFS,9,Lead Referral,
2009-2010,FFS,9,""VDRL, RPR, ART"",
2009-2010,FFS,9,Gonorrhea,0
2009-2010,FFS,9,Pap Smear,0
2009-2010,FFS,9,Chlamydia,
2009-2010,FFS,9,Pelvic Exam,0
2009-2010,FFS,9,Ova/ Parasites,0
2009-2010,FFS,9,Total Cholesterol,40
2009-2010,FFS,10,Sickle Cell,
2009-2010,FFS,10,Blood Lead,
2009-2010,FFS,10,Lead Test,68
2009-2010,FFS,10,Lead Referral,
2009-2010,FFS,10,""VDRL, RPR, ART"",0
2009-2010,FFS,10,Gonorrhea,
2009-2010,FFS,10,Pap Smear,
2009-2010,FFS,10,Chlamydia,
2009-2010,FFS,10,Pelvic Exam,
2009-2010,FFS,10,Ova/ Parasites,0
2009-2010,FFS,10,Total Cholesterol,36
2009-2010,FFS,11,Sickle Cell,
2009-2010,FFS,11,Blood Lead,38
2009-2010,FFS,11,Lead Test,70
2009-2010,FFS,11,Lead Referral,
2009-2010,FFS,11,""VDRL, RPR, ART"",
2009-2010,FFS,11,Gonorrhea,
2009-2010,FFS,11,Pap Smear,0
2009-2010,FFS,11,Chlamydia,
2009-2010,FFS,11,Pelvic Exam,
2009-2010,FFS,11,Ova/ Parasites,
2009-2010,FFS,11,Total Cholesterol,42
2009-2010,FFS,12,Sickle Cell,
2009-2010,FFS,12,Blood Lead,
2009-2010,FFS,12,Lead Test,55
2009-2010,FFS,12,Lead Referral,
2009-2010,FFS,12,""VDRL, RPR, ART"",
2009-2010,FFS,12,Gonorrhea,
2009-2010,FFS,12,Pap Smear,
2009-2010,FFS,12,Chlamydia,
2009-2010,FFS,12,Pelvic Exam,0
2009-2010,FFS,12,Ova/ Parasites,
2009-2010,FFS,12,Total Cholesterol,63
2009-2010,FFS,13,Sickle Cell,0
2009-2010,FFS,13,Blood Lead,
2009-2010,FFS,13,Lead Test,52
2009-2010,FFS,13,Lead Referral,
2009-2010,FFS,13,""VDRL, RPR, ART"",16
2009-2010,FFS,13,Gonorrhea,34
2009-2010,FFS,13,Pap Smear,
2009-2010,FFS,13,Chlamydia,42
2009-2010,FFS,13,Pelvic Exam,
2009-2010,FFS,13,Ova/ Parasites,
2009-2010,FFS,13,Total Cholesterol,60
2009-2010,FFS,14,Sickle Cell,
2009-2010,FFS,14,Blood Lead,34
2009-2010,FFS,14,Lead Test,54
2009-2010,FFS,14,Lead Referral,
2009-2010,FFS,14,""VDRL, RPR, ART"",28
2009-2010,FFS,14,Gonorrhea,64
2009-2010,FFS,14,Pap Smear,
2009-2010,FFS,14,Chlamydia,71
2009-2010,FFS,14,Pelvic Exam,
2009-2010,FFS,14,Ova/ Parasites,
2009-2010,FFS,14,Total Cholesterol,69
2009-2010,FFS,15,Sickle Cell,
2009-2010,FFS,15,Blood Lead,
2009-2010,FFS,15,Lead Test,63
2009-2010,FFS,15,Lead Referral,
2009-2010,FFS,15,""VDRL, RPR, ART"",39
2009-2010,FFS,15,Gonorrhea,82
2009-2010,FFS,15,Pap Smear,
2009-2010,FFS,15,Chlamydia,119
2009-2010,FFS,15,Pelvic Exam,
2009-2010,FFS,15,Ova/ Parasites,
2009-2010,FFS,15,Total Cholesterol,74
2009-2010,FFS,16,Sickle Cell,
2009-2010,FFS,16,Blood Lead,
2009-2010,FFS,16,Lead Test,63
2009-2010,FFS,16,Lead Referral,
2009-2010,FFS,16,""VDRL, RPR, ART"",61
2009-2010,FFS,16,Gonorrhea,123
2009-2010,FFS,16,Pap Smear,
2009-2010,FFS,16,Chlamydia,150
2009-2010,FFS,16,Pelvic Exam,25
2009-2010,FFS,16,Ova/ Parasites,
2009-2010,FFS,16,Total Cholesterol,77
2009-2010,FFS,17,Sickle Cell,
2009-2010,FFS,17,Blood Lead,
2009-2010,FFS,17,Lead Test,54
2009-2010,FFS,17,Lead Referral,
2009-2010,FFS,17,""VDRL, RPR, ART"",67
2009-2010,FFS,17,Gonorrhea,129
2009-2010,FFS,17,Pap Smear,18
2009-2010,FFS,17,Chlamydia,156
2009-2010,FFS,17,Pelvic Exam,21
2009-2010,FFS,17,Ova/ Parasites,0
2009-2010,FFS,17,Total Cholesterol,68
2009-2010,FFS,18,Sickle Cell,0
2009-2010,FFS,18,Blood Lead,
2009-2010,FFS,18,Lead Test,
2009-2010,FFS,18,Lead Referral,0
2009-2010,FFS,18,""VDRL, RPR, ART"",41
2009-2010,FFS,18,Gonorrhea,65
2009-2010,FFS,18,Pap Smear,17
2009-2010,FFS,18,Chlamydia,84
2009-2010,FFS,18,Pelvic Exam,
2009-2010,FFS,18,Ova/ Parasites,
2009-2010,FFS,18,Total Cholesterol,35
2009-2010,FFS,19,Sickle Cell,
2009-2010,FFS,19,Blood Lead,
2009-2010,FFS,19,Lead Test,
2009-2010,FFS,19,Lead Referral,
2009-2010,FFS,19,""VDRL, RPR, ART"",15
2009-2010,FFS,19,Gonorrhea,35
2009-2010,FFS,19,Pap Smear,12
2009-2010,FFS,19,Chlamydia,42
2009-2010,FFS,19,Pelvic Exam,12
2009-2010,FFS,19,Ova/ Parasites,0
2009-2010,FFS,19,Total Cholesterol,
2009-2010,FFS,20,Sickle Cell,0
2009-2010,FFS,20,Blood Lead,
2009-2010,FFS,20,Lead Test,0
2009-2010,FFS,20,Lead Referral,0
2009-2010,FFS,20,""VDRL, RPR, ART"",
2009-2010,FFS,20,Gonorrhea,23
2009-2010,FFS,20,Pap Smear,
2009-2010,FFS,20,Chlamydia,26
2009-2010,FFS,20,Pelvic Exam,
2009-2010,FFS,20,Ova/ Parasites,0
2009-2010,FFS,20,Total Cholesterol,
2009-2010,FFS,UNKNOWN,Sickle Cell,0
2009-2010,FFS,UNKNOWN,Blood Lead,0
2009-2010,FFS,UNKNOWN,Lead Test,0
2009-2010,FFS,UNKNOWN,Lead Referral,0
2009-2010,FFS,UNKNOWN,""VDRL, RPR, ART"",0
2009-2010,FFS,UNKNOWN,Gonorrhea,0
2009-2010,FFS,UNKNOWN,Pap Smear,0
2009-2010,FFS,UNKNOWN,Chlamydia,0
2009-2010,FFS,UNKNOWN,Pelvic Exam,0
2009-2010,FFS,UNKNOWN,Ova/ Parasites,0
2009-2010,FFS,UNKNOWN,Total Cholesterol,0
2009-2010,GFS,0,Sickle Cell,
2009-2010,GFS,0,Blood Lead,
2009-2010,GFS,0,Lead Test,
2009-2010,GFS,0,Lead Referral,
2009-2010,GFS,0,""VDRL, RPR, ART"",0
2009-2010,GFS,0,Gonorrhea,0
2009-2010,GFS,0,Pap Smear,0
2009-2010,GFS,0,Chlamydia,
2009-2010,GFS,0,Pelvic Exam,0
2009-2010,GFS,0,Ova/ Parasites,
2009-2010,GFS,0,Total Cholesterol,0
2009-2010,GFS,1,Sickle Cell,22
2009-2010,GFS,1,Blood Lead,3234
2009-2010,GFS,1,Lead Test,5487
2009-2010,GFS,1,Lead Referral,
2009-2010,GFS,1,""VDRL, RPR, ART"",
2009-2010,GFS,1,Gonorrhea,
2009-2010,GFS,1,Pap Smear,
2009-2010,GFS,1,Chlamydia,0
2009-2010,GFS,1,Pelvic Exam,0
2009-2010,GFS,1,Ova/ Parasites,
2009-2010,GFS,1,Total Cholesterol,
2009-2010,GFS,2,Sickle Cell,
2009-2010,GFS,2,Blood Lead,2547
2009-2010,GFS,2,Lead Test,4613
2009-2010,GFS,2,Lead Referral,418
2009-2010,GFS,2,""VDRL, RPR, ART"",0
2009-2010,GFS,2,Gonorrhea,0
2009-2010,GFS,2,Pap Smear,0
2009-2010,GFS,2,Chlamydia,0
2009-2010,GFS,2,Pelvic Exam,0
2009-2010,GFS,2,Ova/ Parasites,
2009-2010,GFS,2,Total Cholesterol,
2009-2010,GFS,3,Sickle Cell,
2009-2010,GFS,3,Blood Lead,1631
2009-2010,GFS,3,Lead Test,2832
2009-2010,GFS,3,Lead Referral,
2009-2010,GFS,3,""VDRL, RPR, ART"",
2009-2010,GFS,3,Gonorrhea,0
2009-2010,GFS,3,Pap Smear,0
2009-2010,GFS,3,Chlamydia,0
2009-2010,GFS,3,Pelvic Exam,0
2009-2010,GFS,3,Ova/ Parasites,
2009-2010,GFS,3,Total Cholesterol,21
2009-2010,GFS,4,Sickle Cell,
2009-2010,GFS,4,Blood Lead,2149
2009-2010,GFS,4,Lead Test,3456
2009-2010,GFS,4,Lead Referral,260
2009-2010,GFS,4,""VDRL, RPR, ART"",
2009-2010,GFS,4,Gonorrhea,
2009-2010,GFS,4,Pap Smear,0
2009-2010,GFS,4,Chlamydia,
2009-2010,GFS,4,Pelvic Exam,0
2009-2010,GFS,4,Ova/ Parasites,15
2009-2010,GFS,4,Total Cholesterol,63
2009-2010,GFS,5,Sickle Cell,20
2009-2010,GFS,5,Blood Lead,1322
2009-2010,GFS,5,Lead Test,2288
2009-2010,GFS,5,Lead Referral,158
2009-2010,GFS,5,""VDRL, RPR, ART"",
2009-2010,GFS,5,Gonorrhea,
2009-2010,GFS,5,Pap Smear,0
2009-2010,GFS,5,Chlamydia,
2009-2010,GFS,5,Pelvic Exam,
2009-2010,GFS,5,Ova/ Parasites,12
2009-2010,GFS,5,Total Cholesterol,70
2009-2010,GFS,6,Sickle Cell,13
2009-2010,GFS,6,Blood Lead,374
2009-2010,GFS,6,Lead Test,779
2009-2010,GFS,6,Lead Referral,61
2009-2010,GFS,6,""VDRL, RPR, ART"",0
2009-2010,GFS,6,Gonorrhea,0
2009-2010,GFS,6,Pap Smear,0
2009-2010,GFS,6,Chlamydia,0
2009-2010,GFS,6,Pelvic Exam,
2009-2010,GFS,6,Ova/ Parasites,
2009-2010,GFS,6,Total Cholesterol,92
2009-2010,GFS,7,Sickle Cell,17
2009-2010,GFS,7,Blood Lead,135
2009-2010,GFS,7,Lead Test,293
2009-2010,GFS,7,Lead Referral,
2009-2010,GFS,7,""VDRL, RPR, ART"",0
2009-2010,GFS,7,Gonorrhea,0
2009-2010,GFS,7,Pap Smear,0
2009-2010,GFS,7,Chlamydia,0
2009-2010,GFS,7,Pelvic Exam,0
2009-2010,GFS,7,Ova/ Parasites,
2009-2010,GFS,7,Total Cholesterol,105
2009-2010,GFS,8,Sickle Cell,18
2009-2010,GFS,8,Blood Lead,98
2009-2010,GFS,8,Lead Test,206
2009-2010,GFS,8,Lead Referral,23
2009-2010,GFS,8,""VDRL, RPR, ART"",0
2009-2010,GFS,8,Gonorrhea,0
2009-2010,GFS,8,Pap Smear,0
2009-2010,GFS,8,Chlamydia,0
2009-2010,GFS,8,Pelvic Exam,0
2009-2010,GFS,8,Ova/ Parasites,
2009-2010,GFS,8,Total Cholesterol,141
2009-2010,GFS,9,Sickle Cell,17
2009-2010,GFS,9,Blood Lead,91
2009-2010,GFS,9,Lead Test,203
2009-2010,GFS,9,Lead Referral,19
2009-2010,GFS,9,""VDRL, RPR, ART"",
2009-2010,GFS,9,Gonorrhea,
2009-2010,GFS,9,Pap Smear,0
2009-2010,GFS,9,Chlamydia,
2009-2010,GFS,9,Pelvic Exam,0
2009-2010,GFS,9,Ova/ Parasites,
2009-2010,GFS,9,Total Cholesterol,177
2009-2010,GFS,10,Sickle Cell,
2009-2010,GFS,10,Blood Lead,67
2009-2010,GFS,10,Lead Test,200
2009-2010,GFS,10,Lead Referral,25
2009-2010,GFS,10,""VDRL, RPR, ART"",
2009-2010,GFS,10,Gonorrhea,0
2009-2010,GFS,10,Pap Smear,0
2009-2010,GFS,10,Chlamydia,
2009-2010,GFS,10,Pelvic Exam,0
2009-2010,GFS,10,Ova/ Parasites,
2009-2010,GFS,10,Total Cholesterol,173
2009-2010,GFS,11,Sickle Cell,24
2009-2010,GFS,11,Blood Lead,79
2009-2010,GFS,11,Lead Test,206
2009-2010,GFS,11,Lead Referral,23
2009-2010,GFS,11,""VDRL, RPR, ART"",
2009-2010,GFS,11,Gonorrhea,
2009-2010,GFS,11,Pap Smear,0
2009-2010,GFS,11,Chlamydia,
2009-2010,GFS,11,Pelvic Exam,0
2009-2010,GFS,11,Ova/ Parasites,
2009-2010,GFS,11,Total Cholesterol,208
2009-2010,GFS,12,Sickle Cell,12
2009-2010,GFS,12,Blood Lead,73
2009-2010,GFS,12,Lead Test,183
2009-2010,GFS,12,Lead Referral,16
2009-2010,GFS,12,""VDRL, RPR, ART"",
2009-2010,GFS,12,Gonorrhea,14
2009-2010,GFS,12,Pap Smear,0
2009-2010,GFS,12,Chlamydia,26
2009-2010,GFS,12,Pelvic Exam,0
2009-2010,GFS,12,Ova/ Parasites,
2009-2010,GFS,12,Total Cholesterol,172
2009-2010,GFS,13,Sickle Cell,15
2009-2010,GFS,13,Blood Lead,57
2009-2010,GFS,13,Lead Test,209
2009-2010,GFS,13,Lead Referral,25
2009-2010,GFS,13,""VDRL, RPR, ART"",
2009-2010,GFS,13,Gonorrhea,41
2009-2010,GFS,13,Pap Smear,0
2009-2010,GFS,13,Chlamydia,54
2009-2010,GFS,13,Pelvic Exam,
2009-2010,GFS,13,Ova/ Parasites,
2009-2010,GFS,13,Total Cholesterol,206
2009-2010,GFS,14,Sickle Cell,17
2009-2010,GFS,14,Blood Lead,50
2009-2010,GFS,14,Lead Test,221
2009-2010,GFS,14,Lead Referral,26
2009-2010,GFS,14,""VDRL, RPR, ART"",45
2009-2010,GFS,14,Gonorrhea,831
2009-2010,GFS,14,Pap Smear,0
2009-2010,GFS,14,Chlamydia,846
2009-2010,GFS,14,Pelvic Exam,
2009-2010,GFS,14,Ova/ Parasites,
2009-2010,GFS,14,Total Cholesterol,247
2009-2010,GFS,15,Sickle Cell,23
2009-2010,GFS,15,Blood Lead,68
2009-2010,GFS,15,Lead Test,276
2009-2010,GFS,15,Lead Referral,20
2009-2010,GFS,15,""VDRL, RPR, ART"",109
2009-2010,GFS,15,Gonorrhea,895
2009-2010,GFS,15,Pap Smear,
2009-2010,GFS,15,Chlamydia,922
2009-2010,GFS,15,Pelvic Exam,
2009-2010,GFS,15,Ova/ Parasites,
2009-2010,GFS,15,Total Cholesterol,232
2009-2010,GFS,16,Sickle Cell,20
2009-2010,GFS,16,Blood Lead,
2009-2010,GFS,16,Lead Test,214
2009-2010,GFS,16,Lead Referral,22
2009-2010,GFS,16,""VDRL, RPR, ART"",225
2009-2010,GFS,16,Gonorrhea,1160
2009-2010,GFS,16,Pap Smear,
2009-2010,GFS,16,Chlamydia,1202
2009-2010,GFS,16,Pelvic Exam,
2009-2010,GFS,16,Ova/ Parasites,
2009-2010,GFS,16,Total Cholesterol,258
2009-2010,GFS,17,Sickle Cell,27
2009-2010,GFS,17,Blood Lead,55
2009-2010,GFS,17,Lead Test,234
2009-2010,GFS,17,Lead Referral,22
2009-2010,GFS,17,""VDRL, RPR, ART"",654
2009-2010,GFS,17,Gonorrhea,1159
2009-2010,GFS,17,Pap Smear,
2009-2010,GFS,17,Chlamydia,1187
2009-2010,GFS,17,Pelvic Exam,31
2009-2010,GFS,17,Ova/ Parasites,
2009-2010,GFS,17,Total Cholesterol,227
2009-2010,GFS,18,Sickle Cell,58
2009-2010,GFS,18,Blood Lead,62
2009-2010,GFS,18,Lead Test,188
2009-2010,GFS,18,Lead Referral,
2009-2010,GFS,18,""VDRL, RPR, ART"",1312
2009-2010,GFS,18,Gonorrhea,1390
2009-2010,GFS,18,Pap Smear,
2009-2010,GFS,18,Chlamydia,1404
2009-2010,GFS,18,Pelvic Exam,58
2009-2010,GFS,18,Ova/ Parasites,
2009-2010,GFS,18,Total Cholesterol,192
2009-2010,GFS,19,Sickle Cell,0
2009-2010,GFS,19,Blood Lead,0
2009-2010,GFS,19,Lead Test,0
2009-2010,GFS,19,Lead Referral,0
2009-2010,GFS,19,""VDRL, RPR, ART"",0
2009-2010,GFS,19,Gonorrhea,0
2009-2010,GFS,19,Pap Smear,0
2009-2010,GFS,19,Chlamydia,0
2009-2010,GFS,19,Pelvic Exam,0
2009-2010,GFS,19,Ova/ Parasites,0
2009-2010,GFS,19,Total Cholesterol,0
2009-2010,GFS,20,Sickle Cell,0
