IntakeType,IntakeSubtype,Number of Animals,YEAR,MONTH
CONFISCATE,RESTRAINT,1,2011,7
DISPOSAL,STRAY,1,2011,7
FOSTER,,7,2011,7
FOSTER,RETURN,4,2011,7
OWNER SUR,,2,2011,7
OWNER SUR,EUTH REQ,48,2011,7
OWNER SUR,FIELD,88,2011,7
OWNER SUR,OTC,247,2011,7
RETURN,,1,2011,7
RETURN,ADOPTION,31,2011,7
RETURN,FOSTER,1,2011,7
RETURN,K HUMANE S,2,2011,7
STRAY,,3,2011,7
STRAY,EUTH REQ,1,2011,7
STRAY,FIELD,492,2011,7
STRAY,OTC,288,2011,7
CONFISCATE,ABANDONED,1,2011,8
CONFISCATE,BITE,3,2011,8
CONFISCATE,CRUELTY,1,2011,8
CONFISCATE,NEGLECT,9,2011,8
CONFISCATE,POLICE,1,2011,8
CONFISCATE,RESTRAINT,4,2011,8
FOSTER,,12,2011,8
FOSTER,RETURN,6,2011,8
OWNER SUR,EUTH REQ,64,2011,8
OWNER SUR,FIELD,48,2011,8
OWNER SUR,OTC,261,2011,8
RETURN,,4,2011,8
RETURN,ADOPTION,19,2011,8
RETURN,K HUMANE S,3,2011,8
STRAY,FIELD,542,2011,8
STRAY,OTC,264,2011,8
CONFISCATE,ABANDONED,3,2011,9
CONFISCATE,BITE,5,2011,9
CONFISCATE,CHAINING,1,2011,9
CONFISCATE,CRUELTY,2,2011,9
CONFISCATE,NEGLECT,3,2011,9
CONFISCATE,OWNER DIED,1,2011,9
CONFISCATE,RESTRAINT,4,2011,9
DISPOSAL,STRAY,1,2011,9
FOSTER,,1,2011,9
FOSTER,RETURN,11,2011,9
OWNER SUR,,1,2011,9
OWNER SUR,EUTH REQ,62,2011,9
OWNER SUR,FIELD,57,2011,9
OWNER SUR,OTC,138,2011,9
RETURN,ADOPTION,19,2011,9
STRAY,,1,2011,9
STRAY,FIELD,362,2011,9
STRAY,OTC,211,2011,9
CONFISCATE,BITE,2,2011,10
CONFISCATE,CHAINING,2,2011,10
CONFISCATE,CRUELTY,2,2011,10
CONFISCATE,NEGLECT,2,2011,10
CONFISCATE,POLICE,1,2011,10
CONFISCATE,RESTRAINT,2,2011,10
DISPOSAL,,1,2011,10
DISPOSAL,STRAY,1,2011,10
FOSTER,RETURN,17,2011,10
OWNER SUR,EUTH REQ,66,2011,10
OWNER SUR,FIELD,33,2011,10
OWNER SUR,OTC,122,2011,10
RETURN,ADOPTION,21,2011,10
STRAY,,1,2011,10
STRAY,FIELD,296,2011,10
STRAY,OTC,184,2011,10
CONFISCATE,BITE,2,2011,11
CONFISCATE,CHAINING,2,2011,11
CONFISCATE,DANGER DOG,1,2011,11
CONFISCATE,NEGLECT,5,2011,11
CONFISCATE,POLICE,1,2011,11
CONFISCATE,RESTRAINT,6,2011,11
FOSTER,RETURN,11,2011,11
OWNER SUR,,3,2011,11
OWNER SUR,EUTH REQ,71,2011,11
OWNER SUR,FIELD,46,2011,11
OWNER SUR,OTC,159,2011,11
RETURN,ADOPTION,31,2011,11
STRAY,FIELD,295,2011,11
STRAY,OTC,155,2011,11
CONFISCATE,,1,2011,12
CONFISCATE,ABANDONED,3,2011,12
CONFISCATE,BITE,2,2011,12
CONFISCATE,CHAINING,1,2011,12
CONFISCATE,CRUELTY,2,2011,12
CONFISCATE,DANGER DOG,2,2011,12
CONFISCATE,HOSPITAL,1,2011,12
CONFISCATE,NEGLECT,5,2011,12
CONFISCATE,POTDANGER,1,2011,12
FOSTER,RETURN,20,2011,12
OWNER SUR,EUTH REQ,48,2011,12
OWNER SUR,FIELD,21,2011,12
OWNER SUR,OTC,142,2011,12
RETURN,ADOPTION,17,2011,12
RETURN,FOSTER,1,2011,12
STRAY,FIELD,324,2011,12
STRAY,OTC,171,2011,12
CONFISCATE,ABANDONED,1,2012,1
CONFISCATE,CRUELTY,1,2012,1
CONFISCATE,NEGLECT,6,2012,1
CONFISCATE,POLICE,1,2012,1
CONFISCATE,POTDANGER,2,2012,1
DISPOSAL,OWNER,5,2012,1
DISPOSAL,STRAY,1,2012,1
ET REQUEST,OLD,7,2012,1
ET REQUEST,SICK,4,2012,1
FOSTER,RETURN,73,2012,1
OWNER SUR,EUTH REQ,27,2012,1
OWNER SUR,FIELD,37,2012,1
OWNER SUR,OTC,103,2012,1
RETURN,,1,2012,1
RETURN,ADOPTION,10,2012,1
STRAY,,1,2012,1
STRAY,FIELD,256,2012,1
STRAY,OTC,144,2012,1
CONFISCATE,BITE,1,2012,2
CONFISCATE,CHAINING,1,2012,2
CONFISCATE,NEGLECT,7,2012,2
CONFISCATE,POLICE,1,2012,2
CONFISCATE,RESTRAINT,2,2012,2
DISPOSAL,OTHER,2,2012,2
DISPOSAL,OWNER,2,2012,2
ET REQUEST,OLD,8,2012,2
ET REQUEST,SICK,9,2012,2
FOSTER,,7,2012,2
FOSTER,RETURN,63,2012,2
OWNER SUR,EUTH REQ,23,2012,2
OWNER SUR,FIELD,22,2012,2
OWNER SUR,OTC,114,2012,2
RETURN,,1,2012,2
RETURN,ADOPTION,28,2012,2
STRAY,,2,2012,2
STRAY,FIELD,223,2012,2
STRAY,OTC,147,2012,2
CONFISCATE,BITE,3,2012,3
CONFISCATE,CHAINING,1,2012,3
CONFISCATE,CRUELTY,2,2012,3
CONFISCATE,DANGER DOG,1,2012,3
CONFISCATE,NEGLECT,13,2012,3
CONFISCATE,OWNER DIED,1,2012,3
CONFISCATE,POLICE,10,2012,3
CONFISCATE,RESTRAINT,4,2012,3
DISPOSAL,OTHER,1,2012,3
DISPOSAL,OWNER,1,2012,3
ET REQUEST,,6,2012,3
ET REQUEST,AGGRESSIVE,1,2012,3
ET REQUEST,OLD,25,2012,3
ET REQUEST,SICK,20,2012,3
FOSTER,,1,2012,3
FOSTER,RETURN,63,2012,3
OWNER SUR,,1,2012,3
OWNER SUR,EUTH REQ,32,2012,3
OWNER SUR,FIELD,32,2012,3
OWNER SUR,OTC,151,2012,3
RETURN,,1,2012,3
RETURN,ADOPTION,16,2012,3
STRAY,,4,2012,3
STRAY,FIELD,303,2012,3
STRAY,OTC,169,2012,3
CONFISCATE,,3,2012,4
CONFISCATE,BITE,1,2012,4
CONFISCATE,CHAINING,2,2012,4
CONFISCATE,CRUELTY,2,2012,4
CONFISCATE,NEGLECT,8,2012,4
CONFISCATE,RESTRAINT,3,2012,4
DISPOSAL,STRAY,1,2012,4
ET REQUEST,,2,2012,4
ET REQUEST,AGGRESSIVE,29,2012,4
ET REQUEST,OLD,12,2012,4
ET REQUEST,SICK,14,2012,4
FOSTER,RETURN,91,2012,4
OWNER SUR,,1,2012,4
OWNER SUR,EUTH REQ,24,2012,4
OWNER SUR,FIELD,50,2012,4
OWNER SUR,OTC,161,2012,4
RETURN,ADOPTION,14,2012,4
STRAY,,3,2012,4
STRAY,FIELD,404,2012,4
STRAY,OTC,178,2012,4
CONFISCATE,ABANDONED,3,2012,5
CONFISCATE,BITE,3,2012,5
CONFISCATE,CHAINING,1,2012,5
CONFISCATE,CRUELTY,7,2012,5
CONFISCATE,NEGLECT,8,2012,5
CONFISCATE,OWNER DIED,1,2012,5
CONFISCATE,RESTRAINT,3,2012,5
DISPOSAL,OTHER,1,2012,5
DISPOSAL,STRAY,1,2012,5
DISPOSAL,WILDLIFE,1,2012,5
ET REQUEST,,20,2012,5
ET REQUEST,AGGRESSIVE,10,2012,5
ET REQUEST,OLD,10,2012,5
ET REQUEST,SICK,15,2012,5
FOSTER,RETURN,88,2012,5
OWNER SUR,EUTH REQ,3,2012,5
OWNER SUR,FIELD,56,2012,5
OWNER SUR,OTC,145,2012,5
RETURN,,1,2012,5
RETURN,ADOPTION,20,2012,5
STRAY,,4,2012,5
STRAY,FIELD,318,2012,5
STRAY,OTC,317,2012,5
CONFISCATE,BITE,1,2012,6
CONFISCATE,CHAINING,1,2012,6
CONFISCATE,CRUELTY,2,2012,6
CONFISCATE,NEGLECT,2,2012,6
CONFISCATE,OWNER DIED,1,2012,6
CONFISCATE,RESTRAINT,3,2012,6
DISPOSAL,OWNER,2,2012,6
ET REQUEST,,12,2012,6
ET REQUEST,AGGRESSIVE,4,2012,6
ET REQUEST,OLD,14,2012,6
ET REQUEST,SICK,13,2012,6
FOSTER,,1,2012,6
FOSTER,RETURN,96,2012,6
OWNER SUR,,1,2012,6
OWNER SUR,EUTH REQ,11,2012,6
OWNER SUR,FIELD,39,2012,6
OWNER SUR,OTC,158,2012,6
RETURN,ADOPTION,20,2012,6
STRAY,,8,2012,6
STRAY,FIELD,307,2012,6
STRAY,OTC,385,2012,6
CONFISCATE,ABANDONED,2,2012,7
CONFISCATE,BITE,1,2012,7
CONFISCATE,CHAINING,1,2012,7
CONFISCATE,CRUELTY,8,2012,7
CONFISCATE,NEGLECT,1,2012,7
CONFISCATE,POTDANGER,2,2012,7
DISPOSAL,OTHER,2,2012,7
DISPOSAL,WILDLIFE,1,2012,7
ET REQUEST,,7,2012,7
ET REQUEST,AGGRESSIVE,13,2012,7
ET REQUEST,OLD,19,2012,7
ET REQUEST,SICK,18,2012,7
FOSTER,,7,2012,7
FOSTER,RETURN,94,2012,7
OWNER SUR,EUTH REQ,9,2012,7
OWNER SUR,FIELD,36,2012,7
OWNER SUR,OTC,165,2012,7
RETURN,,1,2012,7
RETURN,ADOPTION,9,2012,7
RETURN,K HUMANE S,1,2012,7
STRAY,,5,2012,7
STRAY,FIELD,278,2012,7
STRAY,OTC,330,2012,7
CONFISCATE,ABANDONED,2,2012,8
CONFISCATE,BITE,1,2012,8
CONFISCATE,CRUELTY,15,2012,8
CONFISCATE,DANGER DOG,3,2012,8
CONFISCATE,NEGLECT,2,2012,8
CONFISCATE,POLICE,3,2012,8
CONFISCATE,POTDANGER,2,2012,8
DISPOSAL,FIELD,1,2012,8
DISPOSAL,OTHER,2,2012,8
DISPOSAL,OWNER,5,2012,8
ET REQUEST,AGGRESSIVE,8,2012,8
ET REQUEST,OLD,15,2012,8
ET REQUEST,SICK,11,2012,8
FOSTER,,2,2012,8
FOSTER,RETURN,89,2012,8
OWNER SUR,,1,2012,8
OWNER SUR,EUTH REQ,7,2012,8
OWNER SUR,FIELD,19,2012,8
OWNER SUR,OTC,157,2012,8
RETURN,ADOPTION,15,2012,8
RETURN,K HUMANE S,1,2012,8
STRAY,,2,2012,8
STRAY,FIELD,293,2012,8
STRAY,OTC,271,2012,8
CONFISCATE,ABANDONED,3,2012,9
CONFISCATE,BITE,2,2012,9
CONFISCATE,CHAINING,1,2012,9
CONFISCATE,DANGER DOG,1,2012,9
CONFISCATE,HOSPITAL,2,2012,9
CONFISCATE,NEGLECT,2,2012,9
CONFISCATE,POLICE,2,2012,9
CONFISCATE,RESTRAINT,1,2012,9
DISPOSAL,FIELD,1,2012,9
DISPOSAL,OTHER,6,2012,9
DISPOSAL,OWNER,1,2012,9
ET REQUEST,,2,2012,9
ET REQUEST,AGGRESSIVE,3,2012,9
ET REQUEST,OLD,12,2012,9
ET REQUEST,SICK,14,2012,9
FOSTER,RETURN,56,2012,9
OWNER SUR,,1,2012,9
OWNER SUR,EUTH REQ,13,2012,9
OWNER SUR,FIELD,22,2012,9
OWNER SUR,OTC,161,2012,9
RETURN,,1,2012,9
RETURN,ADOPTION,12,2012,9
STRAY,,3,2012,9
STRAY,FIELD,299,2012,9
STRAY,OTC,318,2012,9
CONFISCATE,ABANDONED,2,2012,10
CONFISCATE,BITE,3,2012,10
CONFISCATE,COURT ORD,2,2012,10
CONFISCATE,EVICTION,1,2012,10
CONFISCATE,NEGLECT,5,2012,10
CONFISCATE,POLICE,2,2012,10
CONFISCATE,POTDANGER,2,2012,10
CONFISCATE,RESTRAINT,3,2012,10
DISPOSAL,,1,2012,10
DISPOSAL,FIELD,2,2012,10
DISPOSAL,OTHER,7,2012,10
DISPOSAL,OWNER,5,2012,10
DISPOSAL,STRAY,2,2012,10
ET REQUEST,,1,2012,10
ET REQUEST,AGGRESSIVE,3,2012,10
ET REQUEST,OLD,13,2012,10
ET REQUEST,SICK,14,2012,10
FOSTER,RETURN,109,2012,10
OWNER SUR,,2,2012,10
OWNER SUR,EUTH REQ,4,2012,10
OWNER SUR,FIELD,26,2012,10
OWNER SUR,OTC,107,2012,10
RETURN,,1,2012,10
RETURN,ADOPTION,12,2012,10
STRAY,FIELD,247,2012,10
STRAY,OTC,274,2012,10
CONFISCATE,ABANDONED,5,2012,11
CONFISCATE,BITE,1,2012,11
CONFISCATE,CRUELTY,3,2012,11
CONFISCATE,DANGER DOG,1,2012,11
CONFISCATE,NEGLECT,1,2012,11
CONFISCATE,POLICE,2,2012,11
CONFISCATE,RESTRAINT,4,2012,11
DISPOSAL,,3,2012,11
DISPOSAL,FIELD,1,2012,11
DISPOSAL,OTHER,1,2012,11
DISPOSAL,OWNER,5,2012,11
DISPOSAL,STRAY,3,2012,11
ET REQUEST,,4,2012,11
ET REQUEST,AGGRESSIVE,9,2012,11
ET REQUEST,OLD,13,2012,11
ET REQUEST,SICK,15,2012,11
FOSTER,RETURN,126,2012,11
FOUND,,1,2012,11
OWNER SUR,EUTH REQ,8,2012,11
OWNER SUR,FIELD,26,2012,11
OWNER SUR,OTC,117,2012,11
RETURN,ADOPTION,9,2012,11
RETURN,K HUMANE S,1,2012,11
STRAY,,2,2012,11
STRAY,FIELD,215,2012,11
STRAY,OTC,196,2012,11
CONFISCATE,ABANDONED,2,2012,12
CONFISCATE,CHAINING,1,2012,12
CONFISCATE,NEGLECT,11,2012,12
CONFISCATE,POLICE,2,2012,12
CONFISCATE,POTDANGER,2,2012,12
CONFISCATE,RESTRAINT,1,2012,12
DISPOSAL,,2,2012,12
DISPOSAL,OTHER,5,2012,12
DISPOSAL,OWNER,7,2012,12
ET REQUEST,,1,2012,12
ET REQUEST,AGGRESSIVE,8,2012,12
ET REQUEST,OLD,12,2012,12
ET REQUEST,SICK,12,2012,12
FOSTER,RETURN,47,2012,12
OWNER SUR,EUTH REQ,9,2012,12
OWNER SUR,FIELD,25,2012,12
OWNER SUR,OTC,108,2012,12
RETURN,,2,2012,12
RETURN,ADOPTION,8,2012,12
RETURN,K HUMANE S,2,2012,12
STRAY,,1,2012,12
STRAY,FIELD,215,2012,12
STRAY,OTC,203,2012,12
CONFISCATE,ABANDONED,1,2013,1
CONFISCATE,BITE,2,2013,1
CONFISCATE,NEGLECT,1,2013,1
CONFISCATE,POLICE,3,2013,1
CONFISCATE,RESTRAINT,2,2013,1
DISPOSAL,FIELD,2,2013,1
DISPOSAL,OTHER,8,2013,1
DISPOSAL,OWNER,5,2013,1
DISPOSAL,STRAY,1,2013,1
ET REQUEST,,1,2013,1
ET REQUEST,AGGRESSIVE,5,2013,1
ET REQUEST,OLD,13,2013,1
ET REQUEST,SICK,7,2013,1
FOSTER,RETURN,70,2013,1
FOUND,,1,2013,1
OWNER SUR,EUTH REQ,5,2013,1
OWNER SUR,FIELD,21,2013,1
OWNER SUR,OTC,121,2013,1
RETURN,,1,2013,1
RETURN,ADOPTION,7,2013,1
RETURN,K HUMANE S,3,2013,1
STRAY,,1,2013,1
STRAY,FIELD,237,2013,1
STRAY,OTC,206,2013,1
CONFISCATE,ABANDONED,2,2013,2
CONFISCATE,BITE,3,2013,2
CONFISCATE,CHAINING,1,2013,2
CONFISCATE,CRUELTY,3,2013,2
CONFISCATE,DANGER DOG,1,2013,2
CONFISCATE,NEGLECT,3,2013,2
CONFISCATE,POLICE,3,2013,2
CONFISCATE,RESTRAINT,2,2013,2
DISPOSAL,,3,2013,2
DISPOSAL,OTHER,2,2013,2
DISPOSAL,OWNER,1,2013,2
ET REQUEST,AGGRESSIVE,4,2013,2
ET REQUEST,OLD,24,2013,2
ET REQUEST,SICK,9,2013,2
FOSTER,RETURN,77,2013,2
OWNER SUR,EUTH REQ,3,2013,2
OWNER SUR,FIELD,48,2013,2
OWNER SUR,OTC,87,2013,2
RETURN,ADOPTION,8,2013,2
STRAY,FIELD,245,2013,2
STRAY,OTC,133,2013,2
CONFISCATE,BITE,1,2013,3
CONFISCATE,CRUELTY,8,2013,3
CONFISCATE,NEGLECT,1,2013,3
CONFISCATE,POLICE,2,2013,3
CONFISCATE,RESTRAINT,1,2013,3
DISPOSAL,,6,2013,3
DISPOSAL,FIELD,2,2013,3
DISPOSAL,OTHER,1,2013,3
DISPOSAL,OWNER,7,2013,3
DISPOSAL,STRAY,2,2013,3
ET REQUEST,,2,2013,3
ET REQUEST,AGGRESSIVE,13,2013,3
ET REQUEST,OLD,15,2013,3
ET REQUEST,SICK,11,2013,3
FOSTER,RETURN,30,2013,3
OWNER SUR,,2,2013,3
OWNER SUR,EUTH REQ,16,2013,3
OWNER SUR,FIELD,40,2013,3
OWNER SUR,OTC,125,2013,3
RETURN,ADOPTION,9,2013,3
RETURN,K HUMANE S,2,2013,3
STRAY,,4,2013,3
STRAY,FIELD,239,2013,3
STRAY,OTC,134,2013,3
CONFISCATE,ABANDONED,1,2013,4
CONFISCATE,CHAINING,1,2013,4
CONFISCATE,CRUELTY,11,2013,4
CONFISCATE,HOSPITAL,1,2013,4
CONFISCATE,NEGLECT,8,2013,4
CONFISCATE,POLICE,6,2013,4
CONFISCATE,POTDANGER,1,2013,4
DISPOSAL,,1,2013,4
DISPOSAL,FIELD,1,2013,4
DISPOSAL,OTHER,2,2013,4
DISPOSAL,OWNER,2,2013,4
DISPOSAL,STRAY,2,2013,4
ET REQUEST,,1,2013,4
ET REQUEST,AGGRESSIVE,10,2013,4
ET REQUEST,OLD,12,2013,4
ET REQUEST,SICK,7,2013,4
FOSTER,,6,2013,4
FOSTER,RETURN,65,2013,4
OWNER SUR,EUTH REQ,21,2013,4
OWNER SUR,FIELD,21,2013,4
OWNER SUR,OTC,137,2013,4
RETURN,ADOPTION,12,2013,4
RETURN,K HUMANE S,1,2013,4
STRAY,,7,2013,4
STRAY,FIELD,299,2013,4
STRAY,OTC,192,2013,4
CONFISCATE,ABANDONED,3,2013,5
CONFISCATE,EVICTION,1,2013,5
CONFISCATE,NEGLECT,11,2013,5
CONFISCATE,OWNER DIED,1,2013,5
CONFISCATE,RESTRAINT,1,2013,5
DISPOSAL,,1,2013,5
DISPOSAL,FIELD,1,2013,5
DISPOSAL,OTHER,6,2013,5
DISPOSAL,OWNER,16,2013,5
DISPOSAL,WILDLIFE,1,2013,5
ET REQUEST,,3,2013,5
ET REQUEST,AGGRESSIVE,13,2013,5
ET REQUEST,OLD,18,2013,5
ET REQUEST,SICK,8,2013,5
FOSTER,RETURN,85,2013,5
OWNER SUR,EUTH REQ,16,2013,5
OWNER SUR,FIELD,39,2013,5
OWNER SUR,OTC,98,2013,5
RETURN,ADOPTION,7,2013,5
STRAY,,6,2013,5
STRAY,FIELD,342,2013,5
STRAY,OTC,328,2013,5
CONFISCATE,ABANDONED,9,2013,6
CONFISCATE,BITE,1,2013,6
CONFISCATE,CRUELTY,2,2013,6
CONFISCATE,POLICE,5,2013,6
CONFISCATE,RESTRAINT,2,2013,6
DISPOSAL,,1,2013,6
DISPOSAL,FIELD,2,2013,6
DISPOSAL,OTHER,3,2013,6
DISPOSAL,OWNER,9,2013,6
ET REQUEST,,9,2013,6
ET REQUEST,AGGRESSIVE,5,2013,6
ET REQUEST,OLD,15,2013,6
ET REQUEST,SICK,17,2013,6
FOSTER,RETURN,125,2013,6
OWNER SUR,EUTH REQ,20,2013,6
OWNER SUR,FIELD,79,2013,6
OWNER SUR,OTC,79,2013,6
RETURN,,1,2013,6
RETURN,ADOPTION,9,2013,6
RETURN,K HUMANE S,4,2013,6
STRAY,FIELD,343,2013,6
STRAY,OTC,309,2013,6
CONFISCATE,ABANDONED,1,2013,7
CONFISCATE,CHAINING,2,2013,7
CONFISCATE,CRUELTY,3,2013,7
CONFISCATE,EVICTION,11,2013,7
CONFISCATE,NEGLECT,23,2013,7
CONFISCATE,POTDANGER,1,2013,7
CONFISCATE,RESTRAINT,2,2013,7
DISPOSAL,FIELD,1,2013,7
DISPOSAL,OTHER,2,2013,7
DISPOSAL,OWNER,5,2013,7
DISPOSAL,STRAY,2,2013,7
ET REQUEST,,1,2013,7
ET REQUEST,AGGRESSIVE,6,2013,7
ET REQUEST,OLD,13,2013,7
ET REQUEST,SICK,15,2013,7
FOSTER,RETURN,94,2013,7
LOST,WEB,1,2013,7
OWNER SUR,EUTH REQ,26,2013,7
OWNER SUR,FIELD,39,2013,7
OWNER SUR,OTC,137,2013,7
RETURN,ADOPTION,18,2013,7
RETURN,K HUMANE S,1,2013,7
STRAY,,1,2013,7
STRAY,FIELD,398,2013,7
STRAY,OTC,311,2013,7
CONFISCATE,ABANDONED,1,2013,8
CONFISCATE,BITE,1,2013,8
CONFISCATE,CRUELTY,18,2013,8
CONFISCATE,DANGER DOG,1,2013,8
CONFISCATE,POLICE,4,2013,8
CONFISCATE,POTDANGER,1,2013,8
CONFISCATE,RESTRAINT,1,2013,8
DISPOSAL,,3,2013,8
DISPOSAL,FIELD,1,2013,8
DISPOSAL,OTHER,1,2013,8
DISPOSAL,OWNER,17,2013,8
DISPOSAL,STRAY,2,2013,8
DISPOSAL,WILDLIFE,1,2013,8
ET REQUEST,,3,2013,8
ET REQUEST,AGGRESSIVE,5,2013,8
ET REQUEST,OLD,11,2013,8
ET REQUEST,SICK,8,2013,8
FOSTER,RETURN,78,2013,8
OWNER SUR,,1,2013,8
OWNER SUR,EUTH REQ,27,2013,8
OWNER SUR,FIELD,31,2013,8
OWNER SUR,OTC,158,2013,8
RETURN,ADOPTION,9,2013,8
RETURN,K HUMANE S,1,2013,8
STRAY,,3,2013,8
STRAY,FIELD,427,2013,8
STRAY,OTC,307,2013,8
CONFISCATE,ABANDONED,1,2013,9
CONFISCATE,CRUELTY,5,2013,9
CONFISCATE,NEGLECT,3,2013,9
CONFISCATE,POLICE,3,2013,9
CONFISCATE,POTDANGER,2,2013,9
DISPOSAL,,1,2013,9
DISPOSAL,FIELD,1,2013,9
DISPOSAL,OWNER,14,2013,9
DISPOSAL,STRAY,7,2013,9
ET REQUEST,,3,2013,9
ET REQUEST,AGGRESSIVE,7,2013,9
ET REQUEST,OLD,19,2013,9
ET REQUEST,SICK,8,2013,9
FOSTER,RETURN,65,2013,9
OWNER SUR,,1,2013,9
OWNER SUR,EUTH REQ,22,2013,9
OWNER SUR,FIELD,20,2013,9
OWNER SUR,OTC,129,2013,9
RETURN,,2,2013,9
RETURN,ADOPTION,9,2013,9
RETURN,K HUMANE S,1,2013,9
STRAY,,1,2013,9
STRAY,FIELD,325,2013,9
STRAY,OTC,291,2013,9
CONFISCATE,CHAINING,4,2013,10
CONFISCATE,CRUELTY,34,2013,10
CONFISCATE,NEGLECT,3,2013,10
CONFISCATE,POLICE,8,2013,10
DISPOSAL,FIELD,2,2013,10
DISPOSAL,OTHER,1,2013,10
DISPOSAL,OWNER,9,2013,10
DISPOSAL,STRAY,5,2013,10
DISPOSAL,WILDLIFE,1,2013,10
ET REQUEST,AGGRESSIVE,5,2013,10
ET REQUEST,OLD,22,2013,10
ET REQUEST,SICK,7,2013,10
EVACUEE,,3,2013,10
FOSTER,RETURN,79,2013,10
OWNER SUR,EUTH REQ,27,2013,10
OWNER SUR,FIELD,48,2013,10
OWNER SUR,OTC,111,2013,10
RETURN,ADOPTION,8,2013,10
STRAY,,1,2013,10
STRAY,FIELD,309,2013,10
STRAY,OTC,343,2013,10
CONFISCATE,,7,2013,11
CONFISCATE,EVICTION,1,2013,11
CONFISCATE,NEGLECT,4,2013,11
CONFISCATE,POLICE,1,2013,11
CONFISCATE,POTDANGER,2,2013,11
CONFISCATE,RESTRAINT,4,2013,11
DISPOSAL,OTHER,1,2013,11
DISPOSAL,OWNER,16,2013,11
DISPOSAL,STRAY,1,2013,11
ET REQUEST,AGGRESSIVE,8,2013,11
ET REQUEST,OLD,13,2013,11
ET REQUEST,SICK,23,2013,11
FOSTER,RETURN,58,2013,11
OWNER SUR,,8,2013,11
OWNER SUR,EUTH REQ,24,2013,11
OWNER SUR,FIELD,7,2013,11
OWNER SUR,OTC,107,2013,11
RETURN,ADOPTION,13,2013,11
RETURN,K HUMANE S,7,2013,11
STRAY,FIELD,290,2013,11
STRAY,OTC,200,2013,11
CONFISCATE,ABANDONED,2,2013,12
CONFISCATE,BITE,1,2013,12
CONFISCATE,CRUELTY,4,2013,12
CONFISCATE,DANGER DOG,1,2013,12
CONFISCATE,POLICE,12,2013,12
DISPOSAL,FIELD,3,2013,12
DISPOSAL,OWNER,20,2013,12
DISPOSAL,STRAY,2,2013,12
ET REQUEST,,1,2013,12
ET REQUEST,AGGRESSIVE,2,2013,12
ET REQUEST,OLD,18,2013,12
ET REQUEST,SICK,12,2013,12
FOSTER,RETURN,63,2013,12
OWNER SUR,,1,2013,12
OWNER SUR,EUTH REQ,20,2013,12
OWNER SUR,FIELD,13,2013,12
OWNER SUR,OTC,85,2013,12
RETURN,ADOPTION,14,2013,12
RETURN,K HUMANE S,1,2013,12
STRAY,,1,2013,12
STRAY,FIELD,243,2013,12
STRAY,OTC,172,2013,12
CONFISCATE,,1,2014,1
CONFISCATE,ABANDONED,1,2014,1
CONFISCATE,BITE,1,2014,1
CONFISCATE,CRUELTY,2,2014,1
CONFISCATE,HOSPITAL,1,2014,1
CONFISCATE,NEGLECT,4,2014,1
CONFISCATE,POLICE,1,2014,1
DISPOSAL,FIELD,2,2014,1
DISPOSAL,OWNER,24,2014,1
DISPOSAL,STRAY,1,2014,1
ET REQUEST,AGGRESSIVE,5,2014,1
ET REQUEST,OLD,13,2014,1
ET REQUEST,SICK,4,2014,1
FOSTER,RETURN,41,2014,1
OWNER SUR,EUTH REQ,18,2014,1
OWNER SUR,FIELD,15,2014,1
OWNER SUR,OTC,76,2014,1
RETURN,,1,2014,1
RETURN,ADOPTION,20,2014,1
STRAY,FIELD,229,2014,1
STRAY,OTC,152,2014,1
CONFISCATE,,1,2014,2
CONFISCATE,ABANDONED,1,2014,2
CONFISCATE,NEGLECT,1,2014,2
CONFISCATE,POLICE,1,2014,2
DISPOSAL,FIELD,1,2014,2
DISPOSAL,OTHER,4,2014,2
DISPOSAL,OWNER,18,2014,2
DISPOSAL,STRAY,1,2014,2
DISPOSAL,WILDLIFE,1,2014,2
ET REQUEST,AGGRESSIVE,7,2014,2
ET REQUEST,OLD,8,2014,2
ET REQUEST,SICK,6,2014,2
FOSTER,RETURN,60,2014,2
OWNER SUR,EUTH REQ,23,2014,2
OWNER SUR,FIELD,14,2014,2
OWNER SUR,OTC,93,2014,2
RETURN,ADOPTION,15,2014,2
RETURN,K HUMANE S,2,2014,2
STRAY,FIELD,179,2014,2
STRAY,OTC,149,2014,2
CONFISCATE,,1,2014,3
CONFISCATE,CHAINING,2,2014,3
CONFISCATE,CRUELTY,1,2014,3
CONFISCATE,DANGER DOG,2,2014,3
CONFISCATE,EVICTION,2,2014,3
CONFISCATE,NEGLECT,1,2014,3
DISPOSAL,FIELD,5,2014,3
DISPOSAL,OWNER,10,2014,3
DISPOSAL,STRAY,1,2014,3
DISPOSAL,WILDLIFE,1,2014,3
ET REQUEST,,3,2014,3
ET REQUEST,AGGRESSIVE,3,2014,3
ET REQUEST,OLD,6,2014,3
ET REQUEST,SICK,5,2014,3
FOSTER,RETURN,43,2014,3
OWNER SUR,EUTH REQ,50,2014,3
OWNER SUR,FIELD,7,2014,3
OWNER SUR,OTC,117,2014,3
RETURN,ADOPTION,11,2014,3
RETURN,K HUMANE S,1,2014,3
STRAY,,1,2014,3
STRAY,FIELD,187,2014,3
STRAY,OTC,189,2014,3
CONFISCATE,ABANDONED,1,2014,4
CONFISCATE,BITE,1,2014,4
CONFISCATE,NEGLECT,1,2014,4
CONFISCATE,POLICE,1,2014,4
DISPOSAL,FIELD,2,2014,4
DISPOSAL,OWNER,8,2014,4
